id,name,region,type,status,google_name,google_place_id,confidence
"536","Barlucca","Breda","horeca","fixed","BarLucca","ChIJK-zlcSmgxkcRA1WxHknZ0Qw","exact"
"524","Boerderij Wolfslaar","Breda","nature","fixed","Boerderij Wolfslaar","ChIJTUXr5b6hxkcRZjnEDs_JvOk","exact"
"537","Bouvigne Paradijs","Breda","horeca","fixed","Restaurant Bouvigne Paradijs","ChIJFwkXQrWhxkcRR2QXMPDKHA8","contains"
"532","Chassé Theater","Breda","museum","fixed","Chassé Theater & Cinema Breda","ChIJreMhYYCfxkcRnw3ZwNZ2xPE","contains"
"530","De Uitvindfabriek","Breda","museum","fixed","De Uitvindfabriek","ChIJAfNxz5yfxkcRGpHHw5f2QA8","exact"
"520","FunZone Breda","Breda","play","fixed","FunZone Breda (Indoor Speeltuin, Trampolinepark & Glow Minigolf)","ChIJeZPf-bqfxkcRv53KE8LopZ0","contains"
"521","Haasje Over Kids Indoor","Breda","play","fixed","Haasje Over","ChIJAdBHGYiZxkcRkmJH-FJTiM8","contains"
"519","Kabonk","Breda","play","fixed","Indoorspeeltuin Kabonk","ChIJJUr4cZqhxkcRYXeXwT1f8Tw","contains"
"526","Kinderboerderij De Zandberg","Breda","nature","fixed","Kinderboerderij De Zandberg","ChIJLyds5TKgxkcRgfvN_UyBy64","exact"
"525","Kinderboerderij Parkhoeve Breda-Noord","Breda","nature","fixed","Stichting Kinderboerderij Breda Noord (Parkhoeve)","ChIJaW0vyA2fxkcR5jHVc5Jxu8w","multi-word"
"535","Kloffies & Koffies","Breda","horeca","fixed","Kloffies & Koffies","ChIJjYs8lNOhxkcROICl0KbsDvo","exact"
"529","Liesbos","Breda","nature","fixed","Liesbos","ChIJn1lVSO0fxEcR_TJrT4A0sz8","exact"
"527","Mastbos","Breda","nature","fixed","Mastbos","ChIJYfT7KcKgxkcRxZhVyEsc8wE","exact"
"518","Monkey Town Breda","Breda","play","fixed","Monkey Town","ChIJOXhXwIufxkcRQuRGnlr4ieY","contains"
"533","Oncle Jean","Breda","horeca","fixed","Oncle Jean","ChIJK71DBMuhxkcRWVmCOgw6UIU","exact"
"540","Pannecoeckenhuys De Hannebroeck","Breda","pancake","name_mismatch","Pannekoeckenhuys Restaurant De Hannebroeck","ChIJ64ZES8GYxkcRy5XEZMQfckk","none"
"539","Pannenkoekenhuis Koeckers Den Hout","Breda","pancake","fixed","Pannenkoekenhuis Koeckers Den Hout","ChIJdUnDZO2exkcRcs1PvEWbBuY","exact"
"538","Pannenkoekenrestaurant Dennenlucht","Breda","pancake","fixed","Pannenkoekenrestaurant Dennenlucht","ChIJw0bjloygxkcRNxTXYYpzNM0","exact"
"528","Park Valkenberg","Breda","nature","fixed","Stadspark Valkenberg","ChIJlxIOVYGfxkcRY28OicvPJ3U","contains"
"523","Speelbos Boeverijen","Breda","play","fixed","Speelbos Mastbos","ChIJw-hczrShxkcREiUGErXXJSo","first-word"
"522","Speeltuin Valkenbergpark","Breda","play","fixed","Speeltuin 🛝","ChIJoTHr0pyfxkcR5ZImcM5Oq-c","contains"
"534","Spruit","Breda","horeca","fixed","Spruit.","ChIJj3DjGMKhxkcRQj5z0aKD--o","exact"
"531","Stedelijk Museum Breda","Breda","museum","fixed","Stedelijk Museum Breda","ChIJ77JDEIGfxkcRU8hQ-2R6v3k","exact"
"357","Kinderboerderij Het Akkertje","Den Haag","nature","fixed","Kinderboerderij Het Akkertje","ChIJQ10gOOy2xUcR32Xb_vH3Yqo","exact"
"353","LEGOLAND Discovery Centre Scheveningen","Den Haag","play","fixed","LEGOLAND® Discovery Centre Scheveningen","ChIJW-QNs6CwxUcRVoc5QnLoUyo","exact"
"355","Stadsboerderij 't Waaygat Scheveningen","Den Haag","nature","fixed","Stadsboerderij 't Waaygat","ChIJ0dkFcqSwxUcRlxXNb6xGHSM","contains"
"356","Stadsboerderij De Reigershof","Den Haag","nature","fixed","Stadsboerderij De Reigershof","ChIJXxaAHaO3xUcRdzBhmCp2eIc","exact"
"359","Stadsboerderij Schildershoeve Den Haag","Den Haag","nature","fixed","Stadsboerderij Schildershoeve","ChIJt0ok7ly3xUcRyY_812SqDT4","contains"
"354","Zuiderparadijs Binnenspeeltuin","Den Haag","play","name_mismatch","Indoor Speelparadijs Het Zuiderparadijs","ChIJEUVZ5DSxxUcRBpz6JCIYAjA","none"
"429","Ballorig Veldhoven","Eindhoven","play","fixed","Ballorig Veldhoven","ChIJfdhW_xjaxkcRTUqw6Qnaem0","exact"
"431","Bounce Valley Eindhoven","Eindhoven","play","fixed","Bounce Valley Eindhoven | Luchtkussenpark Eindhoven","ChIJs4USNtzZxkcRvjyDJyVe9qo","contains"
"450","D'n Kleine Dommel","Eindhoven","pancake","fixed","d'n kleine dommel","ChIJCbqzWGAnx0cRGjJO6g1c9oU","exact"
"441","DAF Museum","Eindhoven","museum","fixed","DAF Museum","ChIJjZJfe_vYxkcREbwcVz_-lnQ","exact"
"433","De Genneper Hoeve","Eindhoven","nature","fixed","De Genneper Hoeve","ChIJCUaswq3ZxkcRnlGBv9F9r0E","exact"
"446","De Mispelhoef","Eindhoven","horeca","fixed","De Mispelhoef","ChIJbSrqTozbxkcRSIiRKRLiIzU","exact"
"434","Eigen Wijs Boerderij","Eindhoven","nature","fixed","Eigen Wijs Boerderij","ChIJHyNV3d7bxkcRty0zN65ODXg","exact"
"436","Genneper Parken","Eindhoven","nature","fixed","Paviljoen Genneper Parken","ChIJU77hjLHZxkcRKs3t_aR1tEg","contains"
"447","Jungle Café","Eindhoven","horeca","fixed","Jungle Café","ChIJX_9YJhvZxkcReBZDZxjmLf4","exact"
"435","Kinderboerderij De Hazewinkel","Eindhoven","nature","fixed","Kinderboerderij De Hazewinkel","ChIJ51nihVvaxkcRU-JyG3wZjpU","exact"
"438","Landgoed Eckartdal","Eindhoven","nature","name_mismatch","Wandelpark Eckart","ChIJUxkXa8jYxkcRLqMrJHrBJOQ","none"
